id	gender	masterCategory	subCategory	articleType	baseColour	season	year	usage	productDisplayName	brand	style	vibe	occasion	trend	image_url
900001	Men	Apparel	Topwear	Oversized T-Shirt	Black	Summer	2026	Casual	Noir Core Oversized Cotton T-Shirt	FIT.AI Studio	Streetwear	Confident	Daily	Oversized	https://images.unsplash.com/photo-1521572163474-6864f9cf17ab?q=80&w=900&auto=format&fit=crop
900002	Women	Apparel	Topwear	Crop Top	White	Summer	2026	Casual	Cloud Ribbed Summer Crop Top	FIT.AI Studio	Minimal	Fresh	Daily	Clean Girl	https://images.unsplash.com/photo-1503342217505-b0a15ec3261c?q=80&w=900&auto=format&fit=crop
900003	Men	Apparel	Bottomwear	Cargo Pants	Olive	Fall	2026	Casual	Urban Utility Olive Cargo Pants	North Thread	Streetwear	Utility	Travel	Gorpcore	https://images.unsplash.com/photo-1515886657613-9f3515b0c78f?q=80&w=900&auto=format&fit=crop
900004	Women	Apparel	Dresses	Midi Dress	Red	Spring	2026	Party	Ruby Satin Evening Midi Dress	Aura Lane	Luxury	Elegant	Party	Satin	https://images.unsplash.com/photo-1524504388940-b1c1722653e1?q=80&w=900&auto=format&fit=crop
900005	Unisex	Footwear	Shoes	Sneakers	White	Summer	2026	Casual	White Everyday Court Sneakers	Stride Lab	Minimal	Clean	Daily	Retro Sneaker	https://images.unsplash.com/photo-1542291026-7eec264c27ff?q=80&w=900&auto=format&fit=crop
900006	Men	Footwear	Shoes	Running Shoes	Blue	Summer	2026	Sports	AeroFlex Blue Performance Running Shoes	Stride Lab	Sporty	Energetic	Gym	Performance	https://images.unsplash.com/photo-1460353581641-37baddab0fa2?q=80&w=900&auto=format&fit=crop
900007	Women	Footwear	Shoes	Heels	Black	Winter	2026	Party	Black Sculpted Block Heels	Aura Lane	Luxury	Polished	Party	Quiet Luxury	https://images.unsplash.com/photo-1543163521-1bf539c55dd2?q=80&w=900&auto=format&fit=crop
900008	Unisex	Accessories	Bags	Tote Bag	Tan	Fall	2026	Casual	Tan Minimal Canvas Tote Bag	Carry Co	Minimal	Warm	College	Everyday Carry	https://images.unsplash.com/photo-1590874103328-eac38a683ce7?q=80&w=900&auto=format&fit=crop
900009	Women	Accessories	Bags	Handbag	Beige	Spring	2026	Formal	Beige Structured Mini Handbag	Aura Lane	Luxury	Soft	Brunch	Quiet Luxury	https://images.unsplash.com/photo-1584917865442-de89df76afd3?q=80&w=900&auto=format&fit=crop
900010	Men	Accessories	Watches	Watch	Silver	Winter	2026	Formal	Silver Minimal Chronograph Watch	Minute Mode	Classic	Sharp	Office	Minimal	https://images.unsplash.com/photo-1523170335258-f5ed11844a49?q=80&w=900&auto=format&fit=crop
900011	Unisex	Accessories	Eyewear	Sunglasses	Black	Summer	2026	Casual	Black Angular Street Sunglasses	Shade Theory	Streetwear	Bold	Travel	Y2K	https://images.unsplash.com/photo-1511499767150-a48a237f0083?q=80&w=900&auto=format&fit=crop
900012	Women	Apparel	Bottomwear	Wide Leg Jeans	Blue	Spring	2026	Casual	Blue High Rise Wide Leg Jeans	Denim District	Minimal	Relaxed	Daily	Wide Leg	https://images.unsplash.com/photo-1541099649105-f69ad21f3246?q=80&w=900&auto=format&fit=crop
900013	Men	Apparel	Topwear	Denim Jacket	Blue	Winter	2026	Casual	Washed Blue Denim Trucker Jacket	Denim District	Retro	Cool	Daily	Denim	https://images.unsplash.com/photo-1523398002811-999ca8dec234?q=80&w=900&auto=format&fit=crop
900014	Women	Apparel	Outerwear	Blazer	Black	Winter	2026	Formal	Black Tailored Power Blazer	Aura Lane	Luxury	Sharp	Office	Power Dressing	https://images.unsplash.com/photo-1496747611176-843222e1e57c?q=80&w=900&auto=format&fit=crop
900015	Men	Apparel	Outerwear	Bomber Jacket	Green	Fall	2026	Casual	Forest Green Nylon Bomber Jacket	North Thread	Streetwear	Edgy	Travel	Utility	https://images.unsplash.com/photo-1551028719-00167b16eac5?q=80&w=900&auto=format&fit=crop
900016	Women	Apparel	Ethnic	Kurta	Yellow	Spring	2026	Festive	Marigold Embroidered Festive Kurta	Indigo Loom	Ethnic	Bright	Festive	Indo Fusion	https://images.unsplash.com/photo-1610030469983-98e550d6193c?q=80&w=900&auto=format&fit=crop
900017	Men	Apparel	Ethnic	Kurta	White	Summer	2026	Festive	White Linen Celebration Kurta	Indigo Loom	Ethnic	Calm	Festive	Linen	https://images.unsplash.com/photo-1602810318383-e386cc2a3ccf?q=80&w=900&auto=format&fit=crop
900018	Women	Apparel	Activewear	Leggings	Black	Summer	2026	Sports	Black Sculpt Training Leggings	Move Mode	Sporty	Focused	Gym	Athleisure	https://images.unsplash.com/photo-1506629905607-d9f297d6f5f3?q=80&w=900&auto=format&fit=crop
900019	Men	Apparel	Activewear	Track Pants	Grey	Winter	2026	Sports	Grey Tech Fleece Track Pants	Move Mode	Sporty	Comfort	Gym	Athleisure	https://images.unsplash.com/photo-1506629905607-d9f297d6f5f3?q=80&w=900&auto=format&fit=crop
900020	Unisex	Accessories	Caps	Baseball Cap	Navy Blue	Summer	2026	Casual	Navy Classic Baseball Cap	Shade Theory	Streetwear	Easy	Daily	Normcore	https://images.unsplash.com/photo-1521369909029-2afed882baee?q=80&w=900&auto=format&fit=crop
900021	Girls	Apparel	Dresses	Party Dress	Pink	Spring	2026	Party	Pink Bow Detail Party Dress	Little Mode	Playful	Cute	Party	Pastel	https://images.unsplash.com/photo-1518831959646-742c3a14ebf7?q=80&w=900&auto=format&fit=crop
900022	Boys	Apparel	Topwear	Polo T-Shirt	Blue	Summer	2026	Casual	Blue Smart Casual Polo T-Shirt	Little Mode	Preppy	Neat	Daily	Classic	https://images.unsplash.com/photo-1503919545889-aef636e10ad4?q=80&w=900&auto=format&fit=crop
900023	Women	Beauty	Fragrance	Perfume	Gold	Winter	2026	Party	Golden Hour Luxury Eau De Parfum	Aura Lane	Luxury	Sensual	Party	Signature Scent	https://images.unsplash.com/photo-1541643600914-78b084683601?q=80&w=900&auto=format&fit=crop
900024	Men	Grooming	Fragrance	Perfume	Black	Winter	2026	Party	Black Cedar Evening Cologne	Noir Grooming	Classic	Dark	Party	Signature Scent	https://images.unsplash.com/photo-1523293182086-7651a899d37f?q=80&w=900&auto=format&fit=crop
900025	Unisex	Accessories	Jewellery	Chain	Silver	Fall	2026	Casual	Silver Minimal Layering Chain	Metal Mode	Streetwear	Cool	Daily	Layered Jewellery	https://images.unsplash.com/photo-1515562141207-7a88fb7ce338?q=80&w=900&auto=format&fit=crop
900026	Women	Accessories	Jewellery	Earrings	Gold	Spring	2026	Formal	Gold Sculptural Hoop Earrings	Metal Mode	Luxury	Polished	Brunch	Statement Jewellery	https://images.unsplash.com/photo-1535632066927-ab7c9ab60908?q=80&w=900&auto=format&fit=crop
900027	Men	Apparel	Topwear	Shirt	White	Spring	2026	Formal	White Oxford Smart Fit Shirt	Boardroom Basics	Classic	Sharp	Office	Old Money	https://images.unsplash.com/photo-1598032895397-b9472444bf93?q=80&w=900&auto=format&fit=crop
900028	Women	Apparel	Topwear	Shirt	Blue	Summer	2026	Formal	Blue Relaxed Office Shirt	Boardroom Basics	Minimal	Crisp	Office	Office Core	https://images.unsplash.com/photo-1551488831-00ddcb6c6bd3?q=80&w=900&auto=format&fit=crop
900029	Men	Apparel	Bottomwear	Chinos	Beige	Spring	2026	Formal	Beige Slim Everyday Chinos	Boardroom Basics	Classic	Smart	Office	Smart Casual	https://images.unsplash.com/photo-1473966968600-fa801b869a1a?q=80&w=900&auto=format&fit=crop
900030	Women	Apparel	Bottomwear	Skirt	Black	Fall	2026	Formal	Black Pleated Midi Skirt	Aura Lane	Minimal	Elegant	Office	Quiet Luxury	https://images.unsplash.com/photo-1583496661160-fb5886a0aaaa?q=80&w=900&auto=format&fit=crop
900031	Unisex	Apparel	Outerwear	Hoodie	Grey	Winter	2026	Casual	Grey Oversized Studio Hoodie	North Thread	Streetwear	Cozy	College	Oversized	https://images.unsplash.com/photo-1556821840-3a63f95609a7?q=80&w=900&auto=format&fit=crop
900032	Unisex	Footwear	Shoes	Boots	Brown	Winter	2026	Casual	Brown Leather Chelsea Boots	Stride Lab	Classic	Grounded	Travel	Heritage	https://images.unsplash.com/photo-1608256246200-53e635b5b65f?q=80&w=900&auto=format&fit=crop
900033	Women	Apparel	Dresses	Maxi Dress	Green	Summer	2026	Resort	Green Resort Flow Maxi Dress	Aura Lane	Boho	Free	Travel	Resortwear	https://images.unsplash.com/photo-1539008835657-9e8e9680c956?q=80&w=900&auto=format&fit=crop
900034	Men	Apparel	Topwear	Linen Shirt	Cream	Summer	2026	Resort	Cream Linen Resort Shirt	North Thread	Minimal	Breezy	Travel	Resortwear	https://images.unsplash.com/photo-1563630423918-b58f07336ac9?q=80&w=900&auto=format&fit=crop
900035	Women	Accessories	Scarves	Scarf	Multi	Winter	2026	Casual	Multi Print Silk Blend Scarf	Aura Lane	Boho	Artful	Travel	Print Story	https://images.unsplash.com/photo-1601924994987-69e26d50dc26?q=80&w=900&auto=format&fit=crop
900036	Men	Accessories	Belts	Belt	Brown	Fall	2026	Formal	Brown Textured Leather Belt	Boardroom Basics	Classic	Smart	Office	Heritage	https://images.unsplash.com/photo-1624222247344-550fb60583dc?q=80&w=900&auto=format&fit=crop
900037	Men	Footwear	Shoes	Sneakers	Black	Winter	2026	Casual	Black Chunky Street Sneakers	Stride Lab	Streetwear	Bold	Daily	Chunky Sneakers	https://images.unsplash.com/photo-1549298916-b41d501d3772?q=90&w=1400&auto=format&fit=crop
900038	Women	Footwear	Shoes	Sneakers	Pink	Spring	2026	Casual	Pink Pastel Platform Sneakers	Stride Lab	Playful	Fresh	College	Platform Sneakers	https://images.unsplash.com/photo-1560769629-975ec94e6a86?q=90&w=1400&auto=format&fit=crop
900039	Unisex	Footwear	Shoes	Sneakers	Red	Summer	2026	Casual	Red Retro High Top Sneakers	Stride Lab	Retro	Energetic	Daily	High Tops	https://images.unsplash.com/photo-1608231387042-66d1773070a5?q=90&w=1400&auto=format&fit=crop
900040	Men	Footwear	Shoes	Sneakers	Grey	Fall	2026	Sports	Grey Knit Training Sneakers	Move Mode	Sporty	Focused	Gym	Training	https://images.unsplash.com/photo-1542291026-7eec264c27ff?q=90&w=1400&auto=format&fit=crop
900041	Women	Footwear	Shoes	Sneakers	White	Winter	2026	Casual	White Luxury Leather Sneakers	Aura Lane	Luxury	Clean	Brunch	Quiet Luxury	https://images.unsplash.com/photo-1595950653106-6c9ebd614d3a?q=90&w=1400&auto=format&fit=crop
900042	Boys	Footwear	Shoes	Sneakers	Blue	Summer	2026	Casual	Blue Kids Everyday Sneakers	Little Mode	Playful	Active	School	Kids Sneakers	https://images.unsplash.com/photo-1514989940723-e8e51635b782?q=90&w=1400&auto=format&fit=crop
900043	Girls	Footwear	Shoes	Sneakers	Purple	Spring	2026	Casual	Purple Kids Light-Up Sneakers	Little Mode	Playful	Cute	School	Kids Sneakers	https://images.unsplash.com/photo-1515955656352-a1fa3ffcd111?q=90&w=1400&auto=format&fit=crop
900044	Unisex	Footwear	Shoes	Sneakers	Beige	Fall	2026	Casual	Beige Suede Terrace Sneakers	Stride Lab	Minimal	Warm	Daily	Terrace Sneakers	https://images.unsplash.com/photo-1600185365483-26d7a4cc7519?q=90&w=1400&auto=format&fit=crop
900045	Men	Footwear	Shoes	Sneakers	Green	Summer	2026	Streetwear	Green Skate Low Sneakers	North Thread	Streetwear	Edgy	College	Skate	https://images.unsplash.com/photo-1525966222134-fcfa99b8ae77?q=90&w=1400&auto=format&fit=crop
900046	Women	Footwear	Shoes	Sneakers	Silver	Winter	2026	Party	Silver Metallic Party Sneakers	Aura Lane	Luxury	Bold	Party	Metallic	https://images.unsplash.com/photo-1579338559194-a162d19bf842?q=90&w=1400&auto=format&fit=crop
